type	AUC	LogCo
NPC	0.603390047879617	9.9
NPC	0.606324976323266	10
PTC	0.659066544775334	-2
PTC	0.659211235925497	-1.9
PTC	0.659349350205198	-1.8
PTC	0.659494041355361	-1.7
PTC	0.659635444070294	-1.6
PTC	0.65979000052615	-1.5
PTC	0.659960999158161	-1.4
PTC	0.660201054930022	-1.3
PTC	0.660391784173419	-1.2
PTC	0.660612109333895	-1.1
PTC	0.660862030411449	-1
PTC	0.66109879774808	-0.9
PTC	0.661315834473324	-0.8
PTC	0.661585486162265	-0.7
PTC	0.661947214037672	-0.6
PTC	0.662312230348311	-0.5
PTC	0.662693688835105	-0.4
PTC	0.663170511943597	-0.3
PTC	0.663607873829317	-0.2
PTC	0.664140600336736	-0.1
PTC	0.66455823161107	0
PTC	0.665169880564032	0.1
PTC	0.665824279174997	0.2
PTC	0.666426062822267	0.3
PTC	0.667248171630012	0.4
PTC	0.668050549826371	0.5
PTC	0.668803601494265	0.6
PTC	0.669711209618015	0.7
PTC	0.670671432705461	0.8
PTC	0.671648097969062	0.9
PTC	0.672759589077134	1
PTC	0.673775715563506	1.1
PTC	0.674528767231401	1.2
PTC	0.67533114542776	1.3
PTC	0.67613681205935	1.4
PTC	0.677195688203725	1.5
PTC	0.678109873197938	1.6
PTC	0.679237806482164	1.7
PTC	0.680155279911607	1.8
PTC	0.680941215931811	1.9
PTC	0.68157588393139	2
PTC	0.682174379143428	2.1
PTC	0.682601875723456	2.2
PTC	0.682832066189624	2.3
PTC	0.682743278438388	2.4
PTC	0.682286185941282	2.5
PTC	0.68147394243923	2.6
PTC	0.680214471745765	2.7
PTC	0.67882346364306	2.8
PTC	0.677284475954962	2.9
PTC	0.675515297800695	3
PTC	0.673219970009471	3.1
PTC	0.670727336104388	3.2
PTC	0.668211683152689	3.3
PTC	0.665603954014522	3.4
PTC	0.662963340524045	3.5
PTC	0.660391784173419	3.6
PTC	0.657984649584342	3.7
PTC	0.655689321793118	3.8
PTC	0.652364713774597	3.9
PTC	0.650713919288646	4
PTC	0.647109794275492	4.1
PTC	0.645935822898032	4.2
PTC	0.644824331789961	4.3
PTC	0.643801628433126	4.4
PTC	0.642440216247501	4.5
PTC	0.642282371356414	4.6
PTC	0.641529319688519	4.7
PTC	0.64203573871409	4.8
PTC	0.641749644848995	4.9
PTC	0.642640810796591	5
PTC	0.632696582658108	5.1
PTC	0.633765324108176	5.2
PTC	0.626737938019573	5.3
PTC	0.62763568083763	5.4
PTC	0.630605137851205	5.5
PTC	0.633222732295065	5.6
PTC	0.626037501315374	5.7
PTC	0.625583697253499	5.8
PTC	0.619822358728823	5.9
PTC	0.616737806482164	6
PTC	0.620802312427654	6.1
PTC	0.612492436598969	6.2
PTC	0.616228099021362	6.3
PTC	0.600423879301273	6.4
PTC	0.602077962222456	6.5
PTC	0.589207026728402	6.6
PTC	0.583919222876986	6.7
PTC	0.591558257918552	6.8
PTC	0.555276952015153	6.9
PTC	0.55160705829738	7
PTC	0.552544262338209	7.1
PTC	0.554185191518468	7.2
PTC	0.549916802588656	7.3
PTC	0.552353533094812	7.4
PTC	0.560308257918552	7.5
PTC	0.54653957960644	7.6
PTC	0.533579856361149	7.7
PTC	0.517732886983058	7.8
PTC	0.523287054088183	7.9
PTC	0.511211919920025	8
PTC	0.510570675049984	8.1
PTC	0.518548418920341	8.2
PTC	0.515947266652636	8.3
PTC	0.522862845943386	8.4
PTC	0.530439400715564	8.5
PTC	0.53875256497948	8.6
PTC	0.545931219088709	8.7
PTC	0.553497908555193	8.8
PTC	0.524214392823319	8.9
PTC	0.531291105440387	9
PTC	0.52052476849416	9.1
PTC	0.525934244449121	9.2
PTC	0.505460446701042	9.3
PTC	0.500679061875197	9.4
PTC	0.495601717878565	9.5
PTC	0.492714471745765	9.6
PTC	0.484818938756182	9.7
PTC	0.463023190045249	9.8
PTC	0.440171853625171	9.9
PTC	0.445670117331369	10
TSC	0.683784494467634	-2
TSC	0.683873525806665	-1.9
